id,corporate_name,data_time,price,open_price,high_price,low_price,volume,prediction,data_source
1,TCS.NS,2026-01-13T16:28:22.813976,121.18399279496202,118.86806391620263,123.70703084134915,117.73396994486963,258341,117.2171952440647,generated
2,TCS.NS,2026-01-14T16:28:22.813976,3395.81096279337,3398.192542572306,3445.4953205882725,3255.9788045821165,4296925,3087.588135306363,generated
3,TCS.NS,2026-01-15T16:28:22.813976,1143.33249736102,1135.859013977736,1157.319731694638,1089.703231887406,6210162,1161.0003174319381,generated
4,TCS.NS,2026-01-16T16:28:22.813976,4242.990374623042,4224.165897169906,4286.753823422198,4153.759352835042,7280267,3853.6532671248046,generated
5,TCS.NS,2026-01-17T16:28:22.813976,3874.2381917827124,3849.225773366789,4016.8318056948974,3770.307682843993,5828611,3718.431058406714,generated
6,TCS.NS,2026-01-18T16:28:22.813976,4396.8459650400355,4406.13676997643,4522.753291503289,4227.287731669696,6781129,4601.770514947457,generated
7,TCS.NS,2026-01-19T16:28:22.813976,263.95171206027374,256.9719179711579,267.68492438579176,252.60508082103865,200060,266.8910037148808,generated
8,TCS.NS,2026-01-20T16:28:22.813976,533.9363900405651,531.0337877175015,541.8291684365407,512.3599521704062,7943970,566.7403784206193,generated
9,TCS.NS,2026-01-21T16:28:22.813976,1445.2823346779974,1463.8054114117156,1497.308792191598,1400.049729743556,6891066,1497.0552441686468,generated
10,TCS.NS,2026-01-22T16:28:22.813976,4543.869892555431,4698.382768802992,4757.6485551020205,4460.489994973273,5311373,4862.239672292026,generated
11,TCS.NS,2026-01-23T16:28:22.813976,3552.1641872821237,3552.9719435684756,3609.322749325749,3511.744112098783,2760215,3363.9537783488568,generated
12,TCS.NS,2026-01-24T16:28:22.813976,4724.057013517909,4794.320485713192,4929.4442078513075,4588.814704459653,6429362,4749.661970575185,generated
13,TCS.NS,2026-01-25T16:28:22.813976,127.88512489718622,131.22971687568062,132.28427730664094,124.65558231513242,9441614,132.8869159061522,generated
14,TCS.NS,2026-01-26T16:28:22.813976,3072.869584514431,2947.680655735836,3161.6541494408884,2940.723136057564,4099587,2904.4616908635508,generated
15,TCS.NS,2026-01-27T16:28:22.813976,724.4322112751795,722.6785434732542,752.0929295040847,697.7075195628823,5677424,717.9437182116267,generated
16,TCS.NS,2026-01-28T16:28:22.813976,3602.2171685380677,3669.9754232169903,3707.861692747286,3480.705475703925,311431,3916.6998651313907,generated
17,TCS.NS,2026-01-29T16:28:22.813976,739.0823814108943,750.6592663207849,754.9621530812315,702.4375138701038,2878051,723.1333135451738,generated
18,TCS.NS,2026-01-30T16:28:22.813976,3824.336831757619,3913.8072853775247,4001.7597385153713,3774.7516688023625,5603241,3653.2270612633743,generated
19,TCS.NS,2026-01-31T16:28:22.813976,4004.7533157586467,3917.9019908714877,4190.889439453666,3871.6101206228914,3440584,3945.592455084386,generated
20,TCS.NS,2026-02-01T16:28:22.813976,1005.7481238521686,1002.0361332207056,1034.6702264305993,987.1144238220941,5507707,1002.991687875555,generated
21,TCS.NS,2026-02-02T16:28:22.813976,4244.776379965584,4272.867676644376,4394.834945715105,4035.9375732995773,7620077,4646.313114527494,generated
22,TCS.NS,2026-02-03T16:28:22.813976,4933.11353521943,4825.795910627219,5099.820974285111,4803.745024316454,5887002,5342.3946975441,generated
23,TCS.NS,2026-02-04T16:28:22.813976,4119.548792687152,4070.566079727085,4301.387949504035,3916.8921856412944,7877834,4277.791906587907,generated
24,TCS.NS,2026-02-05T16:28:22.813976,3829.5075806904065,3891.8051450654175,3994.714245184901,3687.2433049271535,4945717,4209.1333860558825,generated
25,TCS.NS,2026-02-06T16:28:22.813976,2838.561113528117,2854.858444112703,2877.7189891537982,2801.749449385496,3336818,2697.4571472463567,generated
26,TCS.NS,2026-02-07T16:28:22.813976,2791.495204257978,2804.5698423146546,2828.6205443229915,2762.7770406428326,172543,2665.0377550277394,generated
27,TCS.NS,2026-02-08T16:28:22.813976,3811.1309574572183,3879.9479803752347,3919.519728554421,3758.0102750640262,346809,3480.3555197159308,generated
28,TCS.NS,2026-02-09T16:28:22.813976,594.8547797211727,618.1883984881503,619.3931726759622,572.1155167563427,3578311,623.1066643588633,generated
29,TCS.NS,2026-02-10T16:28:22.813976,4428.4458860473205,4500.499224677087,4597.146605271239,4324.457664709376,9612287,4194.21587489941,generated
30,TCS.NS,2026-02-11T16:28:22.813976,2280.8836437167324,2257.830687655251,2360.9162397319405,2208.8274662175254,5659378,2421.5902856726207,generated
31,RELIANCE.NS,2026-01-13T16:28:22.813976,4573.468144474137,4539.173782784381,4745.137510368739,4450.149199113241,7287304,4974.659110633947,generated
32,RELIANCE.NS,2026-01-14T16:28:22.813976,1439.5906487991679,1462.9507898079682,1490.630050834777,1378.6489880608442,5932570,1545.9995877749932,generated
33,RELIANCE.NS,2026-01-15T16:28:22.813976,2072.493818457722,2115.5089652688207,2127.139101798596,1986.0223288123177,3407802,1956.8481443794465,generated
34,RELIANCE.NS,2026-01-16T16:28:22.813976,1728.885811311449,1744.9631644740195,1767.215884727003,1647.553741848527,336326,1727.4665781104372,generated
35,RELIANCE.NS,2026-01-17T16:28:22.813976,799.7305138922899,809.168584733006,814.8926092428616,768.2858082557116,9189872,858.1774459891558,generated
36,RELIANCE.NS,2026-01-18T16:28:22.813976,570.005275030548,566.6413703590034,576.1064675643595,557.0063792580909,8793401,594.8338269192044,generated
37,RELIANCE.NS,2026-01-19T16:28:22.813976,4427.1238498485445,4513.939255671708,4555.779213988251,4344.187192997118,7871189,4595.436719677417,generated
38,RELIANCE.NS,2026-01-20T16:28:22.813976,1588.6664610688488,1565.1943868258977,1637.0781662917213,1559.4259577893781,1346101,1709.5249651228703,generated
39,RELIANCE.NS,2026-01-21T16:28:22.813976,3901.201716060642,3895.888939533443,4028.019273378264,3765.6635462218724,7986348,3606.40309664703,generated
40,RELIANCE.NS,2026-01-22T16:28:22.813976,1502.4285521282377,1479.016299791343,1568.9803198034137,1449.2810113494347,8301574,1580.594268034642,generated
41,RELIANCE.NS,2026-01-23T16:28:22.813976,2400.3860468220014,2339.351753224367,2512.311814429577,2318.9598998942547,6849607,2560.2157743579096,generated
42,RELIANCE.NS,2026-01-24T16:28:22.813976,1425.553832501165,1395.0990010338512,1471.175599576063,1371.5290630662976,2853512,1330.5021642403433,generated
43,RELIANCE.NS,2026-01-25T16:28:22.813976,4423.49724991503,4448.783367431591,4643.713415119083,4303.7576754122865,2147519,4115.733801194975,generated
44,RELIANCE.NS,2026-01-26T16:28:22.813976,1119.0529531344562,1143.377613731314,1168.0965978732584,1100.3467873106997,3845478,1156.8306772593764,generated
45,RELIANCE.NS,2026-01-27T16:28:22.813976,4315.1017600750065,4225.546885467989,4530.426274814072,4158.142536706006,328430,3953.1978068467793,generated
46,RELIANCE.NS,2026-01-28T16:28:22.813976,2873.4899222393074,2915.4050170788096,2981.635345477991,2751.46192482646,9803457,2971.660789569477,generated
47,RELIANCE.NS,2026-01-29T16:28:22.813976,4429.141067426313,4405.591956314297,4496.0702744702685,4256.617612277374,1827135,4007.3960733088124,generated
48,RELIANCE.NS,2026-01-30T16:28:22.813976,1381.4095363293288,1404.6961107775742,1415.6639783240928,1331.8097559168948,7135741,1448.6484143871671,generated
49,RELIANCE.NS,2026-01-31T16:28:22.813976,1960.6555349950013,2001.7205786491202,2047.304840277058,1927.4401021939211,9729970,1923.0777309330817,generated
50,RELIANCE.NS,2026-02-01T16:28:22.813976,1807.1856431357955,1791.7094156706341,1829.5861170320723,1760.5799057032666,1464118,1937.3982065951154,generated
51,RELIANCE.NS,2026-02-02T16:28:22.813976,2634.129886215697,2740.7377317621376,2759.867167104298,2538.509639039293,7143773,2843.2052029917936,generated
